#voltaje, posicion, velocidad
-3.0550918196994985, -66555977.0, -3.577817
-3.030050083472453, -66584304.0, -3.430532
-3.0050083472454094, -66612053.0, -3.418803
-2.979966611018364, -66639133.0, -3.577817
-2.9549248747913186, -66665909.0, -3.189793
-2.929883138564273, -66692241.0, -3.246753
-2.9048414023372278, -66717781.0, -3.225806
-2.879799666110184, -66742977.0, -3.11042
-2.8547579298831387, -66767785.0, -3.210273
-2.8297161936560933, -66792253.0, -2.886003
-2.804674457429048, -66816037.0, -3.04414
-2.7796327212020024, -66839541.0, -2.857143
-2.754590984974959, -66862541.0, -2.95858
-2.7295492487479134, -66885265.0, -2.828854
-2.704507512520868, -66907289.0, -2.724796
-2.6794657762938225, -66929085.0, -2.7894
-2.654424040066777, -66950245.0, -2.617801
-2.6293823038397335, -66970841.0, -2.512563
-2.604340567612688, -66991197.0, -2.659575
-2.5792988313856426, -67011292.0, -2.547771
-2.5542570951585972, -67030721.0, -2.466091
-2.529215358931552, -67049661.0, -2.249719
-2.5041736227045064, -67068221.0, -2.333722
-2.4791318864774627, -67086465.0, -2.421308
-2.4540901502504173, -67104329.0, -2.34192
-2.429048414023372, -67121773.0, -2.157497
-2.4040066777963265, -67138661.0, -2.219756
-2.378964941569281, -67155025.0, -2.134472
-2.3539232053422374, -67171105.0, -2.129925
-2.328881469115192, -67186596.0, -2.038736
-2.3038397328881466, -67201581.0, -1.855288
-2.278797996661101, -67216133.0, -1.998002
-2.2537562604340557, -67230212.0, -1.845019
-2.228714524207012, -67243857.0, -1.730104
-2.2036727879799667, -67257388.0, -1.495886
-2.1786310517529213, -67270404.0, -1.612903
-2.153589315525876, -67282725.0, -1.675042
-2.1285475792988304, -67294525.0, -1.628664
-2.103505843071787, -67306185.0, -1.28041
-2.0784641068447414, -67317789.0, -1.265022
-2.053422370617696, -67328393.0, -1.491424
-2.0283806343906505, -67338481.0, -1.186944
-2.003338898163605, -67349037.0, -1.242236
-1.9782971619365615, -67357896.0, -1.136364
-1.953255425709516, -67367408.0, -1.091107
-1.9282136894824706, -67375617.0, -1.202646
-1.9031719532554252, -67384096.0, -0.8869179
-1.8781302170283798, -67391896.0, -0.9784736
-1.8530884808013361, -67399429.0, -0.8319467
-1.8280467445742907, -67405829.0, -0.8061265
-1.8030050083472453, -67413237.0, -0.7454342
-1.7779632721202, -67418517.0, -0.6889425
-1.7529215358931545, -67425104.0, -0.9136592
-1.727879799666109, -67431021.0, -0.6997901
-1.7028380634390654, -67434308.0, -0.4509583
-1.67779632721202, -67439521.0, -0.7619048
-1.6527545909849746, -67444568.0, -0.7415647
-1.6277128547579292, -67447969.0, -0.3926188
-1.6026711185308837, -67449641.0, -0.3635042
-1.57762938230384, -67449757.0, -0.0005406586
-1.5525876460767947, -67449757.0, -0.0002588724
